Name,Ename,Code,Group Type,Attribute,Function Code,Data Type,Register Address,Bit Position,Bit Number,Precision,Ratio,Offset,Endian,Is Persisted,Storage Interval,Mutate Bound,Default Value,Max Value,Min Value,Unit,Is Show
SOC低一级报警阈值,SOCLowLvl1AssertThd,614,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,100.0,0.0,%,0
SOC低一级恢复阈值,SOCLowLvl1DeassertThd,615,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,100.0,0.0,%,0
SOH低一级报警阈值,SOHLowLvl1AssertThd,616,1,0,0,0,0,0,0,7,0.0078125,0.0,0,1,30000,0,,100.0,0.0,%,0
SOH低二级报警阈值,SOHLowLvl2AssertThd,617,1,0,0,0,0,0,0,7,0.0078125,0.0,0,1,30000,0,,100.0,0.0,%,0
SOH低三级报警阈值,SOHLowLvl3AssertThd,618,1,0,0,0,0,0,0,7,0.0078125,0.0,0,1,30000,0,,100.0,0.0,%,0
SOC差异过大报警阈值,SOCDiffTooBigLvl1AssertThd,619,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,50.0,0.0,%,0
SOC差异过大恢复阈值,SOCDiffTooBigLvl1DeassertThd,620,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,50.0,0.0,%,0
自放电差异过大一级报警阈值,SelfDischrgDiffTooBigLvl1AssertThd,621,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,100.0,0.0,%,0
自放电差异过大二级报警阈值,SelfDischrgDiffTooBigLvl2AssertThd,622,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,100.0,0.0,%,0
自放电差异过大二级恢复阈值,SelfDischrgDiffTooBigLvl2DeassertThd,623,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,100.0,0.0,%,0
自放电差异过大三级报警阈值,SelfDischrgDiffTooBigLvl3AssertThd,624,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,100.0,0.0,%,0
自放电差异过大三级恢复阈值,SelfDischrgDiffTooBigLvl3DeassertThd,625,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,100.0,0.0,%,0
过充故障判断阈值,OverChgFltEnaThdValPct,626,1,0,0,0,0,0,0,9,0.001953125,0.0,0,1,30000,0,,30.0,0.0,%,0
均衡禁止命令标定值,BalFordCmdFlg,627,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,1.0,0.0,flg,0
清除所有故障信息,Alarm Reset,628,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,3.0,0.0,,0
使能/禁止绝缘检测,Enable/Disable Insulation Measurement,629,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,3.0,0.0,,0
预留占位,Reserved,630,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,3.0,0.0,,0
使能/禁止电池串,Enable/Disable String,631,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,3.0,0.0,,0
清除所有EPO,EPO Reset,632,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,3.0,0.0,,0
手动控制使能/禁止绝缘检测,Enable/Disable Insulation Measurement Manual Control,633,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,3.0,0.0,,0
连接/断开电池串,Connect/Disconnect String,634,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,15.0,0.0,,0
手动控制Bank执行ID编码,Manually Control Bank Executing ID Learn,635,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,255.0,0.0,,0
自动上高压设置,Auto Hv up configuration,636,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,255.0,0.0,,0
自动编码DO输出控制,ID Learn DO Control,637,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,255.0,0.0,,0
允许运行的最小Rack数量,Min number of Racks Allowed to Run,638,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,63.0,0.0,,0
PCS 通讯诊断设置,PCS Communication Diagnosis Configuration,639,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,3.0,0.0,,0
控制模式,Control Mode,640,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,15.0,0.0,,0
堆编号,Bank Number,842,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,15.0,0.0,Nbr,0
故障越限次数数组[0],Fault Overlimit Count Array [0],642,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
故障越限次数数组[1],Fault Overlimit Count Array [1],643,1,0,0,0,0,0,0,0,1.0,0.0,0,1,30000,0,,65535.0,0.0,,0
